Source: Spectrum Viewer

Chart: Pulse Spectrum

Series: 
Wavelength (nm)	S (a.u.)
617.638	0.0851974
617.773	0.086559
617.908	0.0923945
618.043	0.0898658
618.178	0.0877261
618.313	0.0867535
618.448	0.0886987
618.583	0.0904493
618.718	0.08617
618.853	0.0879206
618.988	0.0894768
619.123	0.0869481
619.258	0.0892822
619.394	0.0888932
619.529	0.0896713
619.664	0.0890877
619.799	0.0873371
619.934	0.0892822
620.069	0.0912274
620.204	0.0912274
620.339	0.0892822
620.474	0.0894768
620.609	0.0886987
620.744	0.0869481
620.879	0.0892822
621.014	0.0896713
621.149	0.0855865
621.284	0.0863645
621.419	0.0888932
621.554	0.086559
621.689	0.0875316
621.825	0.0898658
621.96	0.0892822
622.095	0.0879206
622.23	0.0900603
622.365	0.0850029
622.5	0.0888932
622.635	0.0875316
622.77	0.0890877
622.905	0.0888932
623.04	0.0873371
623.175	0.0892822
623.31	0.0875316
623.445	0.0879206
623.58	0.0896713
623.715	0.0881152
623.85	0.085781
623.985	0.0906438
624.12	0.0873371
624.255	0.0908384
624.39	0.0883097
624.525	0.0902548
624.661	0.0898658
624.796	0.0920054
624.931	0.0894768
625.066	0.0892822
625.201	0.0877261
625.336	0.0898658
625.471	0.0863645
625.606	0.0877261
625.741	0.0923945
625.876	0.0890877
626.011	0.0892822
626.146	0.0877261
626.281	0.0879206
626.416	0.0869481
626.551	0.0914219
626.686	0.0869481
626.821	0.0894768
626.956	0.0871426
627.091	0.0877261
627.226	0.0888932
627.361	0.0890877
627.496	0.0873371
627.631	0.0883097
627.766	0.0886987
627.901	0.0896713
628.036	0.0877261
628.171	0.085781
628.307	0.0920054
628.442	0.092589
628.577	0.0892822
628.712	0.0894768
628.847	0.0888932
628.982	0.0873371
629.117	0.0875316
629.252	0.0869481
629.387	0.0867535
629.522	0.0904493
629.657	0.0859755
629.792	0.0879206
629.927	0.0890877
630.062	0.0871426
630.197	0.0877261
630.332	0.0863645
630.467	0.0859755
630.602	0.0900603
630.737	0.0867535
630.872	0.0879206
631.007	0.0863645
631.142	0.0900603
631.277	0.0871426
631.412	0.0853919
631.547	0.0890877
631.682	0.0875316
631.817	0.0881152
631.952	0.0879206
632.087	0.0904493
632.222	0.0904493
632.357	0.0873371
632.492	0.0877261
632.627	0.0875316
632.762	0.086559
632.897	0.0900603
633.032	0.0894768
633.167	0.0908384
633.302	0.0877261
633.437	0.0877261
633.572	0.0853919
633.707	0.0886987
633.842	0.0855865
633.978	0.0863645
634.113	0.0881152
634.248	0.0850029
634.383	0.0873371
634.518	0.0875316
634.653	0.0888932
634.788	0.0867535
634.923	0.0881152
635.058	0.0883097
635.193	0.0877261
635.328	0.0885042
635.463	0.0877261
635.598	0.0851974
635.733	0.0881152
635.868	0.0902548
636.003	0.0890877
636.138	0.0890877
636.273	0.0877261
636.408	0.0867535
